,Output,Time,Total,Solar,Nuclear,Wind,Hydroelect,Gas/oil,Biofuel,Neighbor,Diff.,Green,Bought,Sold,CO2 made,Selling Price,Cost to Make,Diff.,END
0,2,21:00,18227.0,0.0,10673.19,623.0,4548.0,0.0,26.0,2356.8099999999995,0.0,5197.0,2356.8099999999995,0.0,1448367520.0,1184755.0,725776.92,458978.07999999996,-1
1,2,22:00,17228.0,0.0,10566.4581,573.0,4181.0,0.0,26.0,1881.5419000000002,0.0,4780.0,1881.5419000000002,0.0,1337497854.8,1119820.0,718519.1508,401300.84920000006,-1
2,2,23:00,16155.0,0.0,10460.793518999999,559.0,4096.0,0.0,0.0,1039.206481000001,0.0,4655.0,1039.206481000001,0.0,1185425996.252,1050075.0,711333.9592919999,338741.0407080001,-1
3,2,0:00,15970.0,0.0,10356.185583809998,553.0,4038.0,0.0,27.0,995.8144161900018,0.0,4618.0,995.8144161900018,0.0,1170802926.2894802,1038050.0,704220.6196990799,333829.3803009201,-1
4,2,1:00,15130.0,0.0,10252.623727971899,712.0,3740.0,0.0,12.0,413.3762720281011,0.0,4464.0,413.3762720281011,0.0,1072766617.0265853,983450.0,697178.4135020891,286271.5864979109,-1
5,2,2:00,14654.0,0.0,10150.09749069218,795.0,3473.0,0.0,13.0,222.90250930781986,0.0,4281.0,222.90250930781986,0.0,1031270030.8563194,952510.0,690206.6293670683,262303.3706329317,-1
6,2,3:00,14425.0,0.0,10135.418608569424,498.58139143057633,3791.0,0.0,0.0,0.0,0.0,4289.581391430576,0.0,0.0,971606790.4429874,937625.0,689208.4653827208,248416.5346172792,-1
7,2,4:00,14320.0,0.0,10236.772794655119,345.22720534488144,3738.0,0.0,0.0,0.0,0.0,4083.2272053448814,0.0,0.0,955081768.3474172,930800.0,696100.550036548,234699.44996345195,-1
8,2,5:00,14438.0,0.0,10339.14052260167,520.8594773983295,3578.0,0.0,0.0,0.0,0.0,4098.85947739833,0.0,0.0,976281866.0308914,938470.0,703061.5555369136,235408.44446308643,-1
9,2,6:00,15037.0,0.0,10442.531927827687,559.0,3548.0,0.0,13.0,474.46807217231253,0.0,4120.0,474.46807217231253,0.0,1064293062.6398528,977405.0,710092.1710922827,267312.82890771725,-1
10,2,7:00,16399.0,0.0,10546.957247105964,520.0,4102.0,0.0,21.0,1209.0427528940363,0.0,4643.0,1209.0427528940363,0.0,1216364933.2662513,1541506.0,717193.0928032055,824312.9071967945,-1
11,2,8:00,17784.0,1.0,10652.426819577024,518.0,4680.0,712.5731804229763,27.0,1193.0,0.0,5226.0,1193.0,0.0,1354677268.9904544,1671696.0,724365.0237312376,947330.9762687624,-1
12,2,9:00,18227.0,3.0,10545.902551381254,515.0,4719.0,1364.097448618746,26.0,1054.0,0.0,5263.0,1054.0,0.0,1419062016.3005497,1713338.0,717121.3734939253,996216.6265060747,-1
13,2,10:00,18469.0,12.0,10565.230263488083,484.0,4823.0,1697.7697365119166,24.0,863.0,0.0,5343.0,863.0,0.0,1442402421.028858,1200485.0,718435.6579171896,482049.34208281036,-1
14,2,11:00,18491.0,17.0,10670.882566122964,712.0,4912.0,1382.117433877036,24.0,773.0,0.0,5665.0,773.0,0.0,1428797455.2391465,1201915.0,725620.0144963616,476294.9855036384,-1
15,2,12:00,18330.0,32.0,10633.524845854276,1067.0,4402.0,1364.4751541457244,25.0,806.0,0.0,5526.0,806.0,0.0,1454558211.0984921,1191450.0,723079.6895180907,468370.3104819093,-1
16,2,13:00,18153.0,46.0,10653.371134747016,1354.0,4347.0,928.6288652529838,26.0,798.0,0.0,5773.0,798.0,0.0,1435510278.2982147,1179945.0,724429.2371627971,455515.76283720287,-1
17,2,14:00,18017.0,67.0,10669.131422985369,1302.0,4172.0,1493.8685770146312,26.0,287.0,0.0,5567.0,287.0,0.0,1427165537.5450535,1171105.0,725500.9367630051,445604.0632369949,-1
18,2,15:00,17875.0,44.0,10775.822737215223,1356.0,4017.0,1471.1772627847768,26.0,185.0,0.0,5443.0,185.0,0.0,1402207762.920504,1161875.0,732755.9461306352,429119.0538693648,-1
19,2,16:00,17989.0,23.0,10883.580964587376,1281.0,4384.0,953.419035412624,26.0,438.0,0.0,5714.0,438.0,0.0,1378372170.5497088,1169285.0,740083.5055919415,429201.49440805847,-1
20,2,17:00,18896.0,2.0,10992.41677423325,1189.0,4728.0,1228.5832257667498,26.0,730.0,0.0,5945.0,730.0,0.0,1468286992.255206,1228240.0,747484.340647861,480755.659352139,-1
21,2,18:00,19632.0,0.0,10898.66481880269,1421.0,5018.0,1439.3351811973098,27.0,828.0,0.0,6466.0,828.0,0.0,1553652133.0462062,1276080.0,741109.207678583,534970.792321417,-1
22,2,19:00,19235.0,0.0,10789.678170614663,1806.0,5023.0,496.32182938533697,22.0,1098.0,0.0,6851.0,1098.0,0.0,1508254171.7157443,1250275.0,733698.1156017971,516576.8843982029,-1
23,2,20:00,18977.0,0.0,10681.781388908516,2281.0,4538.0,0.0,26.0,1450.2186110914845,0.0,6845.0,1450.2186110914845,0.0,1523841112.2204165,1233505.0,726361.134445779,507143.865554221,-1
24,2,21:00,18759.0,0.0,10574.96357501943,2567.0,4208.0,0.0,26.0,1383.0364249805698,0.0,6801.0,1383.0364249805698,0.0,1525056351.0982125,1219335.0,719097.5231013213,500237.4768986787,-1
